level,code,exerciseName,orderNumber,words
44,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(лектор спикер);(начинает завершает);();(анонс отчёт))
45,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(девочка женщина бабушка);(танцует читает рисует);();(книги вишни деньги))
46,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(сорванец отличник двоечник);(любит получает ненавидит);();(пятёрки двойки деньги))
47,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(Машенька медведь коза);(несёт чистит подметает);();(дом корзинку комнату))
48,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(Буратино Мальвина Пинокио);(ищет находит найдёт);();(монеты счастье радость))
49,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(Элли Гингема Тотошка);(идёт бежит говорит);();(быстро смело медленно))
50,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(Иван богатырь воин);(стреляет несётся метится);();(метко чётко стремительно))
51,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(волк комар заяц);(нашёл обрёл отыскал);();(рукавичку домик друзей))
52,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(девочка женщина бабуля);(танцует читает рисует);();(книги вишни деньги))
53,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(повар доктор летчик);(видит ловит моет);();(ключи носки часы))
54,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(шофер моряк рыбак);(красит прячет ставит);();(чашки тапки ложки))
55,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(баклажан патиссон кабачок);(томится коптится дымится);();(в миске в кружке в крышке))
56,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(червяк сверчок жучок);(ловит видит слышит);();(пчелу осу змею))
57,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(вилка ложка кружка);(вертит греет держит);();(сало мясо блюдо))
58,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(телефон граммофон патефон);(записывает усиливает проигрывает);();(звук стук шум))
59,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(коршун дятел голубь);(ловит кормит крошит);();(белочку уточку булочку))
60,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(Лёша Миша Лёва);(видит пилит рубит);();(клёны брёвна ивы))
61,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(Оля Яна Аля);(пьёт льёт ест);();(чай сок суп))
62,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(Константин Спиридон Харитон);(несёт везёт поёт);();(букет пакет куплет))
63,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(Марина Дарина Галина);(включает снимает сметает);();(свет шаль пыль))
64,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(Ангелина Аделина Алефтина);(складывает скалывает скидывает);();(носок кусок вазон))
65,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(дяди дети люди);(смывают сливают снимают);();(затемнение загрязнение заграждение))
66,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(оба Оли двое);(бегут бредут идут);();(давно вблизи вдали))
67,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(машина курица собака);(подросла сла подплыла);();(сильно криво быстро))
68,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(тыква ветка утка);(пьёт льёт ест);();(чай сок суп))
69,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(повар доктор летчик);(видит ловит моет);();(ключи носки часы))
70,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(шофер моряк рыбак);(красит прячет ставит);();(чашки тапки ложки))
71,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(доктор тётя клоун);(моет режет ловит);();(груши сливы кофты))
72,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(зонтик тортик ломтик);(ударился закончился испортился);();(сильно быстро сразу))
73,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,(();();(швабра кобра норка);(подмела подползла замерла);();(чисто скрытно резко))
74,sentence_with_3_words,Пойми предложение из 3 слов из 9,3,((двенадцать тринадцать пятнадцать);(рабочих красивых счастливых);();(капают играют гуляют);();())
75,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(школа садик университет секция);(тренирует воспитывает готовит учит);();();(детей спортсменов учеников девочек))
76,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(бульдозер телевизор мороз кот);(начал держал говорил смотрел);();();(игру дорогу вату черепаху))
77,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(борода малина ложка дочь);(ненавидела гнала видела смотрела);();();(подсолнух забор глаз напиток))
78,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(картина посуда ёлка печь);(делала слышала дарила обнимала);();();(весну линейку корову девочку))
79,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(бокал ботинок ком холодильник);(ждёт видит трогает целует);();();(печенье окно солнышко зеркало))
80,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(сверчок рис часовщик бездельник);(верит говорит держит мочит);();();(истину доску картину точку))
81,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(радиоприёмник пароход хлеб насос);(уважает печатает клеит радует);();();(бабочку сумку свободу чайку))
82,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(пылесос конь диван вертолёт);(собирает ломает причёсывает красит);();();(булку змею собаку колбасу))
83,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(абрикос чайник сын барабан);(наряжает начинает платит поёт);();();(ножницы штаны качели духи))
84,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(мотылёк кирпич дуб топор);(толкает бьёт слушает пугает);();();(ящерицу радугу клюкву траву))
85,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(помидор паук утконос дом);(одевает пинает носит греет);();();(пещеру жалобу ягоду розу))
86,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(ватрушка берёза ложка футболка);(тащит морозит ходит развивает);();();(фамилию комнату росу краску))
87,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(колодец мишка жук капитан);(прыгает читает кричит висит);();();(свободу луну землю книгу))
88,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(подушка зима планета ягода);(лежит копает получает звенит);();();(вагон чемодан сон подвал))
89,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(бидон замок камин индюк);(уважает бегает разбирает смотрит);();();(канаву машину телегу нору))
90,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(чашка роса капля муха);(пачкает узнаёт чистит вытирает);();();(кабана журавля поросёнка муравья))
91,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(лампа банка сумка брошка);(заметает лечит успокаивает злит);();();(дом глаз шар пик))
92,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(том суп сыч шарф);(умывает бросает рисует везёт);();();(маму соню кашу баню))
93,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(зуб бак кот лист);(моет режет обнимает чистит);();();(диван капкан банан барабан))
94,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(лаз паз таз квас);(шьёт льёт пьёт врёт);();();(клён ком стон звон))
95,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(ворона капля дочь черепаха);(положила увидела любила катала);();();(пуговицу лису гусеницу мечту))
96,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(пёстрые чёрные серые);(стаканы лопаты бидоны);(стоят лежат поют);();())
97,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(грустные длинные низкие);(волосы варежки головы);(стучат висят кричат);();())
98,sentence_with_3_words,Пойми предложение из 3 слов из 12,4,(();(горячие холодные весёлые);(телефоны крокодилы самолёты);(несут везут трясут);();(бочки полки санки))
1,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();(великие мудрые глупые);(великаны мудрецы глупцы);(умничают советуют молчат);();())
2,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();(желанные милые любимые);(игрушки пироженые книги);(зовут влекут манят);();())
3,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();(скверные горькие скучные);(игры котлеты сказки);(надоедают отвлекают марают);();())
7,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(папа Фёдор Мария);(поёт читает рассказывает);(тихую сладкую добрую);(песню сказку историю))
8,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(мама Мария папа);(любит обожает мечтает);(делать решать считать);(математику задачи примеры))
9,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(доктор тётя клоун);(моет режет ловит);(черные белые серые);(груши сливы кофты))
10,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(педагог мотылек пароход);(стирает ломает кидает);(восемь девять десять);(ведер ложек ручек))
11,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(сторож доктор слесарь);(выписал вылечил вырезал);(пять шесть семь);(людей детей ключей))
12,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(дизайнер художник директор);(описал написал подписал);(восемь девять десять);(дорог картин бумаг))
13,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(учитель кондитер водитель);(пишет красит водит);(пять шесть семь);(тестов кремов джипов))
14,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(Буратино Чиполлино Арлекино);(считает рисует играет);(пять семь шесть);(тетрадей пейзажей спектаклей))
15,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(дел сын брат);(купил продал слепил);(десять двадцать тридцать);(пакетов билетов багетов))
16,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(девушка дедушка бабушка);(лепит варит жарит);(шестое седьмое восьмое);(тесто мясо сало))
17,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(апельсин мандарин ананас);(содержит питает имеет);(двенадцать тринадцать пятнадцать);(элементов компонентов недостатков))
18,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(Ваня Даня Галя);(ест рвёт пьет);(второй седьмой восьмой);(шоколад мармелад лимонад))
19,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(Лунтик Шпунтик Винтик);(несёт везёт кладёт);(восемь девять десять);(мисок ложек досок))
20,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(Дарина Карина Ирина);(поменяла потеряла подарила);(десять двадцать тридцать);(заколок наклеек резинок))
21,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(Нина Зина Лина);(поела купила открыла);(первый третий пятый);(тортик гвоздик зонтик))
22,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(метро лото село);(пускает содержит встречает);(пятнадцать шестнадцать семнадцать);(детей зверей людей))
23,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(пицца птица львица);(горит летит бежит);(двадцать тридцать сорок);(секунд минут часов))
24,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(корова ворона сорока);(стучит шуршит гремит);(двумя тремя пятью);(копытами пакетами браслетами))
25,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(принтер сканер робот);(печатает сканирует заводит);(пять шесть семь);(альбомов журналов моторов))
26,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(братья сёстры дети);(ставят моют чистят);(двенадцать тринадцать семнадцать);(ложек вилок кружек))
27,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(фермер житель сторож);(доит кормит моет);(шестую седьмую восьмую);(кобылу корову собаку))
28,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(обитатель горожанин постоялец);(выкидывает выкручивает выглаживает);(первый третий пятый);(мусор винтик шарфик))
29,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(информатор аниматор провокатор);(представляет развлекает подставляет);(пять шесть семь);(вещей детей людей))
30,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(ребята девчата солдаты);(обсуждают набирают назначают);(восемь девять десять);(проектов студентов рабочих))
31,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(ученик учитель повар);(варят учат зубрят);(карсивый вкусный ароматный);(стих борщ штрудель))
32,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(директор папа Вася);(прячет скрывает показывает);(интересную большую маленькую);(двойку зарплату задачу))
33,sentence_with_4_words,Пойми предложение из 4 слов из 12,5,(();();(мама бабушка хозяйка);(готовит варит печёт);(вкусную сладкую солёную);(селёдку конфету картошку))
34,sentence_with_4_words,Пойми предложение из 4 слов из 16,6,(();();(мамочка Мария Соня бабушка);(придумывает пишет играет учит);(красивое мудрое доброе музыкальное);(сочинение стихотворение произведение хокку))
35,sentence_with_4_words,Пойми предложение из 4 слов из 16,6,(();();(художник пожарный строитель охотник);(прячет чистит носит режет);(шесть ноль пять семь);(кошек кукол чашек ручек))
36,sentence_with_4_words,Пойми предложение из 4 слов из 16,6,(();();(Мария папа Фёдор мама);(танцует учит играет запоминает);(красивый интересный звонкий модный);(танец стих рассказ ритм))
37,sentence_with_4_words,Пойми предложение из 4 слов из 16,6,(();();(машинист музыкант капитан продавец);(видит тянет режет красит);(серую черную белую рыжую);(шубу шапку кофту ложку))
38,sentence_with_4_words,Пойми предложение из 4 слов из 16,6,(();();(футболист хоккеист дзюдоист фигурист);(катит чистит моет ловит);(двенадцать тринадцать шестнадцать пятнадцать);(мячей чехлов ремней цветов))
39,sentence_with_4_words,Пойми предложение из 4 слов из 16,6,(();();(учитель родитель водитель грабитель);(достал назвал подвёз украл);(десять двадцать тридцать сорок);(детективов поликлиник пассажиров помидоров))
40,sentence_with_4_words,Пойми предложение из 4 слов из 16,6,(();();(парикмахер грузовик огурец дворник);(видит делает закрашивает ведёт);(восемь двадцать десять шесть);(коров ключей зонтов плащей))
41,sentence_with_4_words,Пойми предложение из 4 слов из 16,6,(();();(змея швея оса коза);(прорыла пришила схватила умяла);(ноль пять шесть семь);(ям страз мух трав))
42,sentence_with_4_words,Пойми предложение из 4 слов из 16,6,(();();(телёнок ягнёнок котёнок совёнок);(грызёт жуёт поёт клюёт);(ноль пять шесть семь);(косточек листиков песенок семечек))
43,sentence_with_4_words,Пойми предложение из 4 слов из 16,6,(();();(фея Лея Мия ляля);(жарит варит режет лепит);(десять двадцать тридцать сорок);(сосисок колбасок пельменей котлетоку))
44,sentence_with_4_words,Пойми предложение из 4 слов из 16,6,(();();(зайчик ветер камень фартук);(копает слушает читает поёт);(пять семь сто шесть);(волос годов волков мостов))
45,sentence_with_4_words,Пойми предложение из 4 слов из 16,6,(();();(жук мак луч дым);(чертит крутит вертит мутит);(пятнадцать одиннадцать тринадцать восемнадцать);(собак уток берёз чашек))
46,sentence_with_4_words,Пойми предложение из 4 слов из 16,6,(();();(мяч кит рис бас);(лечит пишет красит чертит);(сто пять семь шесть);(долгов столов котов цветов))
47,sentence_with_4_words,Пойми предложение из 4 слов из 16,6,(();();(день свет снег лень);(ловит режет моет роет);(девять десять восемь сорок);(мух лун ос ям))
1,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((пять шесть семь);();(поваров докторов продавцов);(варят пишут гладят);(белые чистые вкусные);(лимоны тарелки бананы))
2,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((девять восемь десять);();(мальчиков девочек бабушек);(катят жарят пилят);(круглые мокрые рваные);(диваны газеты фонтаны))
3,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((пять шесть семь);();(детей друзей людей);(читают листают решают);(новые яркие сложные);(рассказы блокноты примеры))
4,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((седьмая восьмая девятая);();(кошка мошка птичка);(откусила отломала оторвала);(сладкую твёрдую старую);(булочку корочку розочку))
5,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((пятеро шестеро семеро);();(мотоциклистов сноубордистов корреспондентов);(рассказали написали прочитали);(скучные срочные важные);(повести новости записи))
6,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((пятнадцать шестнадцать семнадцать);();(фигуристов хоккеистов футболистов);(прокатали проиграли показали);(сложную легкую новую);(схему битву фишку))
7,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((восемь девять десять);();(программистов сценаристов юмористов);(подловили описали рассмешили);(умных хитрых грустных);(мышат котят ребят))
8,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((десять двадцать тридцать);();(шахматисток пианисток дзюдоисток);(разыграли отыграли проиграли);(интересную знаменитую величайшую);(партию музыку рубрику))
9,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((пятьсот шестьсот семьсот);();(мух пчёл ос);(пролетели просмотрели прожужжали);(тихую мощную громкую);(местность горку стройку))
10,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((восемь девять десять);();(лисят волчат козлят);(гоняли ругали пугали);(желтых серых чёрных);(цыплят мышат котят))
11,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((двадцать тридцать сорок);();(художников строителей охотников);(несли везли трясли);(кислые твёрдые сладкие);(лимоны тарелки бананы))
12,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((десять девять восемь);();(поваров докторов продавцов);(варят носят ставят);(светлые белые темные);(лимоны халаты косынки))
13,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((двенадцать пятнадцать тринадцать);();(утят гусят лисят);(клюют едят грызут);(свежие мокрые твердые);(крошки листья палки))
14,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((пятнадцать шестнадцать семнадцать);();(моллюсков рапанов кораллов);(изучают подъедают закрывают);(быстрых легких сильных);(ежей червей акул))
15,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((двадцать тридцать сорок);();(червей грачей врачей);(смотрят ловят ищут);(прекрасные красивые ужасные);(цветы шары гвозди))
16,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((пять шесть семь);();(мишек кошек мышек);(собирают отрывают закрывают);(осенние весенние коварные);(грибы листы носы))
17,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((тринадцать двенадцать пятнадцать);();(семей детей людей);(подкармливают расчесывают рассматривают);(снежных зимних легких);(крольчат зверят бельчат))
18,sentence_with_5_words,Пойми предложение из 5 слов из 15,7,((восемь девять десять);();(птиц кур рыб);(скинули спрятали сдвинули);(светлые острые толстые);(перья когти камни))
